SKU,category,Company,Size,Color,Pieces per Bag,Material Type,Weight,Masterbatch-Percentage,Related-Products
TPGL-JAR-400-CLR,Jar,TPGL,400ml,Clear,250,HDPE BLOW,60g,0%,
TPGL-JAR-400-WHT,Jar,TPGL,400ml,White,250,HDPE BLOW,60g,2%,
TPGL-JAR-400-BEI,Jar,TPGL,400ml,Beige,250,HDPE BLOW,60g,2%,
TPGL-JAR-400-PRL,Jar,TPGL,400ml,Pearl,250,HDPE BLOW,60g,2%,
TPGL-JAR-500-CLR,Jar,TPGL,500ml,Clear,200,HDPE BLOW,60g,0%,
TPGL-JAR-500-WHT,Jar,TPGL,500ml,White,200,HDPE BLOW,60g,2%,
TPGL-JAR-500-BEI,Jar,TPGL,500ml,Beige,200,HDPE BLOW,60g,2%,
TPGL-JAR-500-PRL,Jar,TPGL,500ml,Pearl,200,HDPE BLOW,60g,2%,
TPGL-JAR-250-CLR,Jar,TPGL,250ml,Clear,300,HDPE BLOW,60g,0%,
TPGL-JAR-250-WHT,Jar,TPGL,250ml,White,300,HDPE BLOW,60g,2%,
TPGL-JAR-250-BEI,Jar,TPGL,250ml,Beige,300,HDPE BLOW,60g,2%,
TPGL-JAR-250-PRL,Jar,TPGL,250ml,Pearl,300,HDPE BLOW,60g,2%,
TWJP-JAR-500-WHT,Jar,Tiwajo Paridox,500ml,White,200,HDPE BLOW,60g,2%,
TWJP-JAR-250-WHT,Jar,Tiwajo Paridox,250ml,White,250,HDPE BLOW,,,
NABB-JAR-500-CLR,Jar,Nabb Cosmetics,500ml,Clear,200,HDPE BLOW,60g,0%,
ELAG-JAR-250-BEI,Jar,Eleagbe,250ml,Beige,250,HDPE BLOW,60g,2%,
ELAG-JAR-250-BLK,Jar,Eleagbe,250ml,Black,250,HDPE BLOW,60g,2%,
ELAG-JAR-250-RED,Jar,Eleagbe,250ml,Red,250,HDPE BLOW,60g,2%,
ELAG-JAR-250-YLW,Jar,Eleagbe,250ml,Yellow,250,HDPE BLOW,60g,2%,
ELAG-JAR-250-PRP,Jar,Eleagbe,250ml,Purple,250,HDPE BLOW,60g,2%,
ELAG-JAR-250-BRN,Jar,Eleagbe,250ml,Brown,250,HDPE BLOW,60g,2%,
DEBB-JAR-300-PRL,Jar,Debbies,300ml,Pearl,300,HDPE BLOW,60g,2%,
DEBB-JAR-300-MRN,Jar,Debbies,300ml,Maroon,300,HDPE BLOW,60g,2%,
TPGL-BTL-1000-PARA-WHT,Bottles,TPGL,1000ml,White,100,HDPE BLOW,60g,2%,
TPGL-BTL-1000-PARA-CLR,Bottles,TPGL,1000ml,Clear,100,HDPE BLOW,60g,0%,
TPGL-BTL-1000-PARA-BLU,Bottles,TPGL,1000ml,Blue,100,HDPE BLOW,60g,2%,
TPRK-BTL-1000-WHT,Bottles,Toprank,1000ml,White,100,HDPE BLOW,60g,2%,
TPRK-BTL-1000-BLU,Bottles,Toprank,1000ml,Blue,100,HDPE BLOW,60g,2%,
TPRK-BTL-1000-CLR,Bottles,Toprank,1000ml,Clear,100,HDPE BLOW,60g,0%,
TPGL-BTL-500-LOT-WHT,Bottles,TPGL,500ml,White,200,HDPE BLOW,60g,2%,
TPGL-BTL-500-LOT-CLR,Bottles,TPGL,500ml,Clear,200,HDPE BLOW,60g,0%,
TPGL-BTL-500-LOT-PCH,Bottles,TPGL,500ml,Peach,200,HDPE BLOW,60g,2%,
TPGL-BTL-1000-SPR-WHT,Bottles,TPGL,1000ml,White,100,HDPE BLOW,60g,2%,
TPGL-BTL-1000-SPR-YLW,Bottles,TPGL,1000ml,Yellow,100,HDPE BLOW,60g,2%,
TPGL-BTL-1000-SPR-CLR,Bottles,TPGL,1000ml,Clear,100,HDPE BLOW,60g,0%,
TPGL-BTL-500-SPR-WHT,Bottles,TPGL,500ml,White,200,HDPE BLOW,60g,2%,
TPGL-BTL-500-SPR-CLR,Bottles,TPGL,500ml,Clear,200,HDPE BLOW,60g,0%,
TPGL-BTL-500-SPR-BLU,Bottles,TPGL,500ml,Blue,200,HDPE BLOW,60g,2%,
TPGL-BTL-400-AV-WHT,Bottles,TPGL,400ml,White,200,HDPE BLOW,60g,2%,
TPGL-BTL-400-AV-CLR,Bottles,TPGL,400ml,Clear,200,HDPE BLOW,60g,0%,
TPGL-BTL-400-AV-BEI,Bottles,TPGL,400ml,Beige,200,HDPE BLOW,60g,2%,
TWJO-BTL-400-LOT-WHT,Bottles,Tiwajo,400ml,White,200,HDPE BLOW,60g,2%,
TWJO-BTL-250-LOT-WHT,Bottles,Tiwajo,250ml,White,300,HDPE BLOW,60g,2%,
MKSH-BTL-500-LOT-GRN,Bottles,Mikesh,500ml,Green,200,HDPE BLOW,60g,2%,
MKSH-BTL-500-LOT-BRN,Bottles,Mikesh,500ml,Brown,200,HDPE BLOW,60g,2%,
TPGL-CAP-JAR-YLW,Caps,TPGL,,Yellow,1000,HDPE INJECTION,60g,2%,
TPGL-CAP-JAR-PRL,Caps,TPGL,,Pearl,1000,HDPE INJECTION,60g,2%,
TPGL-CAP-JAR-BEI,Caps,TPGL,,Beige,1000,HDPE INJECTION,60g,2%,
TPGL-CAP-JAR-CLR,Caps,TPGL,,Clear,1000,HDPE INJECTION,60g,0%,
DEBB-CAP-PRL,Caps,Debbies,,Pearl,1000,HDPE INJECTION,60g,2%,
DEBB-CAP-MRN,Caps,Debbies,,Maroon,1000,HDPE INJECTION,60g,2%,
TPGL-CAP-28-FTP-WHT,Caps,TPGL,28mm,White,5000,HDPE INJECTION,60g,2%,
TPGL-CAP-28-SCR-RED,Caps,TPGL,28mm,Red,5000,HDPE INJECTION,60g,2%,
TPGL-CAP-28-SCR-WHT,Caps,TPGL,28mm,White,5000,HDPE INJECTION,60g,2%,
TPGL-CAP-28-SCR-GRN,Caps,TPGL,28mm,Green,5000,HDPE INJECTION,60g,2%,
TPGL-CAP-28-SCR-BLU,Caps,TPGL,28mm,Blue,5000,HDPE INJECTION,60g,2%,
TPGL-CAP-28-SCR-YLW,Caps,TPGL,28mm,Yellow,5000,HDPE INJECTION,60g,2%,
TPGL-CAP-28-SCR-CLR,Caps,TPGL,28mm,Clear,5000,HDPE INJECTION,60g,0%,
TPGL-CAP-28-SCR-ORG,Caps,TPGL,28mm,Orange,5000,HDPE INJECTION,60g,2%,
TPGL-PLG-TRN,Plugs,TPGL,,Transparent,5000,PP RANDOM,60g,2%,
TPGL-PLG-WHT,Plugs,TPGL,,White,5000,HDPE INJECTION,60g,2%,
